,City Name,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind,Country,Date
348,road town,18.42,-64.62,82.99,87.0,67.0,15.99,VG,1595554821.0
349,callaway,30.15,-85.57,77.0,88.0,75.0,9.17,US,1595554877.0
350,soyo,-6.13,12.37,70.41,86.0,8.0,2.46,AO,1595554877.0
351,college,64.86,-147.8,66.2,52.0,75.0,11.41,US,1595554877.0
352,esperance,-33.87,121.9,59.59,61.0,14.0,10.6,AU,1595554877.0
354,medicine hat,50.05,-110.67,84.0,42.0,90.0,14.99,CA,1595554878.0
355,marsa matruh,31.35,27.25,73.24,79.0,0.0,7.34,EG,1595554878.0
356,hede,33.77,120.25,76.68,72.0,4.0,16.31,CN,1595554878.0
357,bhigvan,18.32,74.77,74.16,90.0,100.0,5.19,IN,1595554878.0
358,aketi,2.74,23.78,68.99,91.0,100.0,1.3,CD,1595554878.0
